,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,ALL,AMGN,AMT,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,BRK.B,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DHR,DIS,DOW,DUK,EMR,EXC,F,FB,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTX,SBUX,SLB,SO,SPG,T,TGT,TMO,TXN,UNH,UNP,UPS,USB,V,VZ,WBA,WFC,WMT,XOM
5/7/2020,303.74,,,,366.78,,,,233.33,,2367.61,,,,314.01,,1443.91,,,,,,514.25,,35.58,,,305,41.37,,,,,,,,,35.04,,211.26,,,,77.61,,1372.56,1369.28,,,,,59.17,,,28.83,,,,,,,,50.16,,,,,,,183.6,,436.53,,304.87,,,131.55,,,,146.29,78.83,,76,,,,,,,113.65,,,,,,,40.66,,,
4/30/2020,293.8,82.2,92.09,185.19,353.64,187.34,25.43,101.72,239.22,238,2474,91.25,141.02,24.05,296.83,37.54,1480.57,502.04,60.81,187.36,48.56,116.38,495.23,70.27,37.63,64.76,42.1,303,42.38,61.55,92,47.02,163.46,108.15,36.69,84.66,57.03,37.08,5.09,204.71,126.77,130.62,6.8,84,22.29,1348.66,1346.7,183.42,219.83,141.9,125.56,59.98,150.04,95.76,30.33,15.23,45.89,154.64,389.06,104.75,274.97,187.56,51.44,97.63,36.08,151.92,39.25,79.34,39.43,179.21,231.12,419.85,87.18,292.28,52.97,16.6,132.29,38.36,117.87,74.6,123,78.67,64.81,76.73,16.82,56.73,66.77,30.47,109.74,334.68,116.07,292.47,159.79,94.66,36.5,178.72,57.45,43.29,29.05,121.55,46.47
3/31/2020,254.29,76.19,78.91,163.26,318.24,177.1,24.25,91.73,202.73,217.75,1949.72,85.61,149.14,21.23,316.38,33.68,1345.32,439.97,55.74,182.83,42.12,116.04,436.31,66.36,34.38,50.42,30.8,285.13,39.31,59.33,72.46,34.1,138.41,96.6,29.24,80.88,47.65,36.81,4.83,166.8,121.26,132.31,7.94,74.76,20.78,1162.81,1161.95,154.59,186.71,133.79,110.93,54.12,131.13,90.03,24.74,13.92,44.25,138.72,338.95,86.05,241.56,165.35,50.08,90.18,30.57,136.51,38.67,76.94,34,157.71,240.62,375.5,82.74,263.6,48.33,11.58,120.1,32.64,110,72.96,95.74,67.65,94.33,65.74,13.49,54.14,54.86,29.15,92.97,283.6,99.93,249.38,141.04,93.42,34.45,161.12,53.73,45.75,28.7,113.62,37.97
2/28/2020,273.36,85.71,77.03,180.59,345.12,190.67,42.16,105.25,199.73,226.8,1883.75,109.93,275.11,28.5,308.39,39.9,1695.66,463.01,59.06,206.34,63.46,124.24,493.17,67.57,40.43,88.26,48.42,281.14,39.93,59.18,93.34,42.9,144.58,117.65,40.41,91.7,64.11,43.11,6.96,192.47,141.17,159.69,10.88,69.36,30.5,1339.33,1339.25,200.77,217.84,162.17,130.15,55.52,134.48,116.11,24.77,19.17,53.49,126.13,369.87,106.57,290.25,194.17,52.8,100.67,42.72,149.24,40.37,76.56,45.03,162.01,252.76,369.03,89.38,270.07,49.46,32.74,132.03,33.42,113.23,81.87,107.99,78.3,130.59,78.43,27.09,60.36,123.08,35.22,103,290.8,114.14,254.96,159.81,90.49,46.44,181.76,54.16,45.76,40.85,107.68,51.44
1/31/2020,309.51,81.02,87.14,205.21,351.14,186.64,50.26,118.54,216.05,231.74,2008.72,129.87,318.27,32.83,268.85,44.78,1830.55,527.35,62.95,224.43,74.41,131.35,517.46,73.78,43.19,99.8,59.43,305.52,45.97,67.82,107.14,51.18,160.87,138.31,46.07,97.63,71.63,47.59,8.82,201.91,144.64,175.44,12.45,63.2,33.39,1434.23,1432.78,237.75,228.1,173.22,143.73,63.93,148.87,132.36,29.2,20.87,58.4,139.64,428.12,116.24,315.94,213.97,57.38,115.44,49.71,158.66,47.53,85.44,52.26,170.23,268.2,345.09,96.3,236.43,52.45,39.72,142.02,37.24,124.62,82.7,113.89,85.31,150.2,84.83,33.51,70.4,133.15,37.62,110.74,313.19,120.65,272.45,179.42,103.52,53.22,198.97,59.44,50.85,46.94,114.49,62.12
12/31/2019,293.65,88.54,86.86,210.57,329.81,191.17,51.33,112.45,241.07,229.82,1847.84,124.49,325.76,35.22,296.73,50.33,2053.73,502.7,64.19,226.5,79.89,147.68,485.08,68.84,44.97,102.91,65.03,293.92,47.96,74.29,120.51,64.2,153.48,144.63,54.73,91.21,76.26,45.59,9.3,205.25,151.21,176.35,11.16,64.98,36.6,1337.02,1339.39,229.93,218.38,177,134.04,59.85,145.87,139.4,32.13,21.17,55.35,131.43,389.38,119.76,298.59,197.61,55.08,113.45,50.97,176.42,49.91,90.95,51.12,157.7,242.16,323.57,101.31,235.3,52.98,41.21,136.67,39.18,124.9,85.09,108.17,88.23,149.76,87.92,40.2,63.7,148.96,39.08,128.21,324.87,128.29,293.98,180.79,117.06,59.29,187.9,61.4,58.96,53.8,118.84,69.78
11/29/2019,267.25,87.73,85.45,201.16,309.53,184.94,52.66,111.35,234.72,214.03,1800.8,120.12,366.18,33.32,299.81,48.97,1904.03,494.91,56.94,220.3,75.12,144.73,470.01,67.82,44.15,100.01,59.94,299.81,45.31,75.27,117.13,64.81,145.98,151.58,53.37,88.17,73.86,44.4,9.06,201.64,160.05,181.74,11.27,67.24,36,1304.96,1304.09,221.35,220.51,178.55,134.45,58.05,137.49,131.76,30.5,19.61,53.4,117.35,391.03,117.31,292.23,194.48,52.54,111.39,49.91,169.77,49.7,87.18,49.48,151.38,233.82,314.66,93.49,216.74,56.14,38.57,135.83,38.52,122.06,82.93,108.01,83.55,148.34,85.43,36.2,61.99,151.21,37.38,125.01,313.95,120.21,279.87,175.99,119.73,60.03,184.51,60.24,59.6,54.46,119.09,68.13
10/31/2019,248.76,79.55,83.61,185.42,277.93,176.11,52.96,106.42,213.25,218.08,1776.66,117.28,339.91,31.27,298.71,46.75,2048.77,461.7,57.37,212.58,71.86,137.8,467.86,68.6,44.82,93.25,55.2,297.11,47.51,66.39,116.14,65.91,137.82,129.92,50.49,94.26,70.15,45.49,8.59,191.65,152.66,176.8,9.98,63.71,37.16,1260.11,1258.8,213.38,234.58,172.73,133.73,56.53,132.04,124.92,32.33,19.98,54.43,113.95,376.68,111.61,276.81,196.7,52.45,108.9,46.79,164.99,44.79,86.66,46.05,143.37,238.34,287.41,89.55,201.02,54.49,40.5,137.17,38.37,124.51,81.44,104.1,80.44,143.58,84.56,32.69,62.66,150.68,38.49,106.91,301.98,117.99,252.7,165.46,115.17,57.02,178.86,60.47,54.78,51.63,117.26,67.57
9/30/2019,223.97,75.72,83.67,192.35,276.25,168.29,55.7,108.68,193.51,221.13,1735.91,118.28,380.47,29.17,232.82,45.21,1962.61,445.64,50.71,208.02,69.08,126.31,412.12,73.51,45.08,90.98,56.98,288.11,49.41,63.07,118.6,71.31,144.43,130.32,47.65,95.86,66.86,48.31,9.16,178.08,145.57,182.73,8.94,63.38,37.48,1219,1221.14,207.23,232.02,169.2,145.42,51.53,129.38,117.69,27.935,20.61,54.44,111.83,390.06,109.96,271.57,214.71,55.32,108.62,47.16,164.4,40.9,84.18,42.67,139.03,232.99,267.62,93.92,174.07,55.03,44.47,137.1,35.93,124.38,75.93,103.59,76.28,136.52,88.42,34.17,61.77,155.65,37.84,106.91,291.27,129.24,217.32,161.98,119.82,55.34,172.01,60.36,55.31,50.44,118.68,70.61
8/30/2019,208.74,65.74,85.32,198.17,284.51,159.72,52.04,102.39,208.62,230.19,1776.29,120.37,364.09,27.51,219.75,42.06,1966.41,422.56,48.07,203.41,64.35,119,409.59,74.15,44.26,86.62,52.18,294.76,46.81,60.92,117.72,67.93,142.09,137.26,42.63,92.74,59.59,47.26,9.17,185.67,158.61,191.27,8.25,63.54,37.09,1188.1,1190.53,203.91,227.91,164.62,135.53,47.41,128.36,109.86,25.52,20.27,55.04,112.97,384.11,112.2,281.37,217.97,55.22,107.89,44.3,161.72,43.74,86.47,41.49,137.86,219.08,293.75,84.5,167.51,52.06,43.48,136.73,35.55,120.23,72.09,109.05,77.77,130.24,96.56,32.43,58.26,148.94,35.26,107.04,287.06,123.75,234,161.96,118.66,52.69,180.82,58.16,51.19,46.57,114.26,68.48
7/31/2019,213.04,66.62,87.1,192.58,298.86,160.5,55.99,107.4,186.58,211.62,1866.78,124.37,341.18,30.68,237.82,46.92,1886.61,467.68,44.41,205.43,71.16,131.67,385.38,71.74,43.17,92.42,59.08,275.63,55.4,55.87,123.11,72.16,140.5,143.01,48.44,86.72,64.88,45.06,9.53,194.23,170.53,185.94,10.45,65.52,40.34,1216.68,1218.2,220.13,213.69,172.46,148.24,50.55,130.22,116,32.01,20.62,52.63,108.95,362.17,101.4,272.27,210.72,53.49,101.94,49.42,174.72,47.07,82.99,44.56,136.27,207.17,322.99,86.03,168.72,56.3,51.36,127.81,38.84,118.04,83.61,110.4,73.16,133.6,94.69,39.97,56.2,162.2,34.05,86.4,277.68,125.01,249.01,179.95,119.47,57.15,178,55.27,54.49,48.41,110.38,74.36
6/28/2019,197.92,72.72,84.1,184.77,294.65,167.43,53.28,101.69,184.28,204.45,1893.63,123.44,364.01,29,233.87,44.15,1874.71,469.3,45.35,213.17,70.03,136.29,395.18,71.67,42.28,90.74,61,264.26,54.73,54.49,124.44,,142.92,139.64,49.31,88.24,66.72,47.94,10.23,193,164.19,181.82,10.5,67.56,38.53,1080.91,1082.8,204.6,207.97,174.59,137.9,47.87,139.28,111.8,31.04,20.88,50.92,110.79,363.54,100.91,264.53,207.66,53.9,97.39,49.67,173.34,47.35,83.85,43.81,133.96,204.86,367.32,83.95,164.23,56.97,50.28,131.13,43.32,109.65,78.53,114.46,76.07,130.2,83.83,39.74,55.28,159.76,33.51,86.61,293.68,114.76,244.01,169.11,103.27,52.4,173.55,57.13,54.67,47.32,110.49,76.63
5/31/2019,175.07,76.71,76.13,178.07,270.9,121.91,51.07,95.51,166.7,208.77,1775.07,114.71,341.61,26.6,219.29,42.69,1656.22,415.56,45.37,197.42,62.15,119.81,376.8,69.62,41,85.87,58.96,239.58,52.03,52.37,113.85,,132.01,132.04,46.76,85.61,60.24,48.08,9.52,177.47,154.28,160.82,9.44,62.25,33.34,1103.63,1106.5,182.49,189.85,164.31,126.99,44.04,131.15,105.96,27.65,19.95,49.13,115.94,338.54,93.28,251.49,198.27,50.85,92.58,46.21,159.75,49.06,79.21,40.69,123.68,198.21,343.28,77.14,135.46,50.6,49.77,128,41.52,102.91,77.13,109.75,66.82,126.3,76.06,34.69,53.5,162.09,30.58,80.45,266.98,104.31,241.8,166.78,92.92,50.2,161.33,54.35,49.34,44.37,101.44,70.77
4/30/2019,200.67,79.39,79.56,182.67,289.25,147,47.57,99.06,179.32,195.3,1926.52,117.23,377.69,30.58,229.24,49.66,1854.99,485.24,46.43,216.71,70.7,139.42,371.19,72.79,43.53,92.83,63.12,245.53,55.95,54.38,120.06,,132.44,136.97,56.73,91.12,70.99,50.95,10.45,193.4,189.46,178.72,10.17,65.04,38.95,1188.48,1198.96,205.92,203.7,173.63,140.27,51.04,141.2,116.05,33.24,19.87,49.06,117.04,333.33,113.14,254.24,197.57,50.85,88.81,46.13,189.51,54.33,78.71,48.25,130.6,194.44,370.54,87.83,181,55.33,58.88,128.05,40.61,106.48,86.56,112.77,86.13,142.61,77.68,42.68,53.22,173.7,30.96,77.42,277.45,117.83,233.07,177.04,106.22,53.32,164.43,57.19,53.57,48.41,102.84,80.28
3/29/2019,189.95,80.59,79.94,176.02,266.49,146.41,43.06,94.18,189.98,197.06,1780.75,109.3,381.42,27.59,236.38,50.43,1744.91,427.37,47.71,200.89,62.22,135.49,346.91,68.54,39.98,81.69,66.74,242.14,53.99,53.93,123.18,,132.02,111.03,,90,68.47,50.13,8.78,166.69,181.41,169.28,9.99,65.01,37.1,1173.31,1176.89,191.99,191.89,158.92,141.1,53.7,139.79,101.23,32.65,20.01,46.86,129.76,300.16,109.47,235.45,189.9,49.92,91.08,42.57,207.78,57.43,83.17,42.2,117.94,193.32,356.56,84.21,179.56,53.71,66.2,122.55,42.47,104.05,88.39,103.84,57.03,128.89,74.34,43.57,51.68,182.21,31.36,80.26,273.72,106.07,247.26,167.2,111.74,48.19,156.19,59.13,63.27,48.32,97.53,80.8
